type,name,start,end
int,puio1mfg,434,435
int,peio1icd,436,438
int,peio1ocd,439,441
int,peio2cow,442,443
int,puio2mfg,444,445
int,peio2icd,446,448
int,peio2ocd,449,451
int,puiock1,452,453
int,puiock2,454,455
int,puiock3,456,457
int,prioelg,458,459
int,pragna,460,461
int,prcow1,462,463
int,prcow2,464,465
int,prcowpg,466,467
int,prdtcow1,468,469
int,prdtcow2,470,471
int,prdtind1,472,473
int,prdtind2,474,475
int,prdtocc1,476,477
int,prdtocc2,478,479
int,premp,480,481
int,prmjind1,482,483
int,prmjind2,484,485
int,prmjocc1,486,487
int,prmjocc2,488,489
int,prmjocgr,490,491
int,prnagpws,492,493
int,prnagws,494,495
int,prsjmj,496,497
int,prerelg,498,499
int,peernuot,500,501
int,peernper,502,503
int,peernrt,504,505
int,peernhry,506,507
num,puernh1c,508,511
num,peernh2,512,515
num,peernh1o,516,519
num,prernhly,520,523
int,pthr,524,524
int,peernhro,525,526
num,prernwa,527,534
int,ptwk,535,535
int,peernvr1,536,537
int,peernvr3,538,539
num,peern,540,547
num,puern2,548,555
int,ptot,556,556
int,puernvr4,557,558
int,peernwkp,559,560
int,peernlab,561,562
int,peerncov,563,564
int,penlfjh,565,566
int,penlfret,567,568
int,penlfact,569,570
int,punlfck1,571,572
int,punlfck2,573,574
int,peschenr,575,576
int,peschft,577,578
int,peschlvl,579,580
int,prnlfsch,581,582
num,pwfmwgt,583,592
num,pwlgwgt,593,602
num,pworwgt,603,612
num,pwsswgt,613,622
num,pwvetwgt,623,632
int,prwernal,639,640
int,prhernal,641,642
int,hxtenure,643,644
int,hxhousut,645,646
int,hxtelhhd,647,648
int,hxtelavl,649,650
int,hxphoneo,651,652
int,pxinusyr,653,654
int,pxrrp,655,656
int,pxparent,657,658
int,pxage,659,660
int,pxmaritl,661,662
int,pxspouse,663,664
int,pxsex,665,666
int,pxafwhen,667,668
int,pxafnow,669,670
int,pxeduca,671,672
int,pxrace,673,674
int,pxnatvty,675,676
int,pxmntvty,677,678
int,pxfntvty,679,680
int,pxorigin,683,684
int,pxmlr,685,686
int,pxret1,687,688
int,pxabsrsn,689,690
int,pxabspdo,691,692
int,pxmjot,693,694
int,pxmjnum,695,696
int,pxhrusl1,697,698
int,pxhrusl2,699,700
int,pxhrftpt,701,702
int,pxhruslt,703,704
int,pxhrwant,705,706
int,pxhrrsn1,707,708
int,pxhrrsn2,709,710
int,pxhract1,711,712
int,pxhract2,713,714
int,pxhractt,715,716
int,pxhrrsn3,717,718
int,pxhravl,719,720
int,pxlayavl,721,722
int,pxlaylk,723,724
int,pxlaydur,725,726
int,pxlayfto,727,728
int,pxlkm1,729,730
int,pxlkavl,731,732
int,pxlkll1o,733,734
int,pxlkll2o,735,736
int,pxlklwo,737,738
int,pxlkdur,739,740
int,pxlkfto,741,742
int,pxdwwnto,743,744
int,pxdwrsn,745,746
int,pxdwlko,747,748
int,pxdwwk,749,750
int,pxdw4wk,751,752
int,pxdwlkwk,753,754
int,pxdwavl,755,756
int,pxdwavr,757,758
int,pxjhwko,759,760
int,pxjhrsn,761,762
int,pxjhwant,763,764
int,pxio1cow,765,766
int,pxio1icd,767,768
int,pxio1ocd,769,770
int,pxio2cow,771,772
int,pxio2icd,773,774
int,pxio2ocd,775,776
int,pxernuot,777,778
int,pxernper,779,780
int,pxernh1o,781,782
int,pxernhro,783,784
int,pxern,785,786
int,pxernvr1,787,788
int,pxernvr3,789,790
int,pxernwkp,791,792
int,pxernrt,793,794
int,pxernhry,795,796
int,pxernh2,797,798
int,pxernlab,799,800
int,pxerncov,801,802
int,pxnlfjh,803,804
int,pxnlfret,805,806
int,pxnlfact,807,808
int,pxschenr,809,810
int,pxschft,811,812
int,pxschlvl,813,814
int,pesschol,815,816
int,pepublic,817,818
int,pegrade,819,820
int,pefull,821,822
int,pestype,823,824
int,pevoca,825,826
int,pelastyr,827,828
int,pelastgd,829,830
int,penotenr,831,832
int,peyratt,833,834
int,peyrdeg,835,836
int,peyrdip,837,838
int,peged,839,840
int,pechrch,841,842
int,pecath,843,844
int,peamount,845,848
int,peamtper,849,850
int,pesusfpx,851,852
int,pesch35,853,854
int,pesch614,855,856
int,pecnoten,857,858
int,pechpub,859,860
int,pechgrde,861,862
int,pes56,863,864
int,pes57,865,866
int,pechchrc,867,868
int,pechcath,869,870
int,pechamnt,871,875
int,pechampr,876,877
int,pescu1,878,879
int,pescu2,880,881
int,pescu3,882,883
int,pescu4a,884,885
int,pescu4b,886,887
int,pescu4c,888,889
int,pescu4d,890,891
